Region,Fine,Med,Coarse
Alberta,2792973.404,14051022.35,1913919.158
British Columbia,169778.374,1272962.264,531281.982
Manitoba,1423514.737,3836870.746,1096984.998
New Brunswick,3188.599,97785.233,51348.188
Newfounland,0,11627.001,731.159
Nova Scotia,0,78171.05,49721.36
Ontario,719882.601,2525347.278,814681.971
Prince Edward Island,0,11003.997,151355.983
Quebec,610186.603,588567.633,818063.494
Saskatchewan,2918514.522,17947310.46,2383942.232
